student,currProb,course,session,priorTutorAction,reward,Interaction,hintCount,TotalTime,TotalPSTime,TotalWETime,avgstepTime,avgstepTimePS,stepTimeDeviation,symbolicRepresentationCount,englishSymbolicSwitchCount,Level,probDiff,difficultProblemCountSolved,difficultProblemCountWE,easyProblemCountSolved,easyProblemCountWE,probAlternate,easyProbAlternate,RuleTypesCount,UseCount,PrepCount,MorphCount,OptionalCount,NewLevel,SolvedPSInLevel,SeenWEinLevel,probIndexinLevel,probIndexPSinLevel,InterfaceErrorCount,RightApp,WrongApp,WrongSemanticsApp,WrongSyntaxApp,PrightAppRatio,RrightAppRatio,F1Score,FDActionCount,BDActionCount,DirectProofActionCount,InDirectProofActionCount,actionCount,UseWindowInfo,NonPSelements,AppCount,AppRatio,hintRatio,BlankRatio,HoverHintCount,SystemInfoHintCount,NextStepClickCountWE,PreviousStepClickCountWE,deletedApp,ruleScoreMP,ruleScoreDS,ruleScoreSIMP,ruleScoreMT,ruleScoreADD,ruleScoreCONJ,ruleScoreHS,ruleScoreCD,ruleScoreDN,ruleScoreDEM,ruleScoreIMPL,ruleScoreCONTRA,ruleScoreEQUIV,ruleScoreCOM,ruleScoreASSOC,ruleScoreDIST,ruleScoreABS,ruleScoreEXP,ruleScoreTAUT,cumul_Interaction,cumul_hintCount,cumul_TotalTime,cumul_TotalPSTime,cumul_TotalWETime,cumul_avgstepTime,cumul_avgstepTimeWE,cumul_avgstepTimePS,cumul_symbolicRepresentationCount,cumul_englishSymbolicSwitchCount,cumul_difficultProblemCountSolved,cumul_difficultProblemCountWE,cumul_easyProblemCountSolved,cumul_easyProblemCountWE,cumul_probAlternate,cumul_easyProbAlternate,cumul_RuleTypesCount,cumul_UseCount,cumul_PrepCount,cumul_MorphCount,cumul_OptionalCount,cumul_probIndexinLevel,cumul_InterfaceErrorCount,cumul_RightApp,cumul_WrongApp,cumul_WrongSemanticsApp,cumul_WrongSyntaxApp,cumul_PrightAppRatio,cumul_RrightAppRatio,cumul_F1Score,cumul_FDActionCount,cumul_BDActionCount,cumul_DirectProofActionCount,cumul_InDirectProofActionCount,cumul_actionCount,cumul_UseWindowInfo,cumul_NonPSelements,cumul_AppCount,cumul_AppRatio,cumul_hintRatio,cumul_BlankRatio,cumul_HoverHintCount,cumul_SystemInfoHintCount,cumul_NextStepClickCountWE,cumul_PreviousStepClickCountWE,cumul_deletedApp,CurrPro_NumProbRule,CurrPro_avgProbTime,CurrPro_avgProbTimePS,CurrPro_avgProbTimeDeviationPS,CurrPro_avgProbTimeWE,CurrPro_avgProbTimeDeviationWE,CurrPro_medianProbTime
0006-F14,1.0.1.0,226-001-BARNES-F14,1,PS,0.0,47,0,535.244,535.244,0.0,11.15091667,11.15091667,17.61348112,1,0,1,0,0,0,0,0,0,0,3,3,4,3,0,1,1,0,0,0,17,6,4,4,0,0.24,1.5,0.413793103,31,0,31,0,31,4,6,25,0.806451613,0.0,0.193548387,1,2,0,0,0,0.039311765,0.039311765,0.126644304,0.01,0.01,0.01,0.011340922,0.01,0.01,0.01,0.017321138,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,47,0,535.244,535.244,0.0,11.15091667,5.24969423,11.15091667,1,0,0,0,0,0,0,0,3,3,4,3,0,0,17,6,4,4,0,0.24,1.5,0.413793103,31,0,31,0,31,4,6,25,0.806451613,0.0,0.193548387,1,2,0,0,0,3,472.5291424,402.2476603,754.2226573,48.0436209,85.89333199,226.8775
0006-F14,1.0.2.0,226-001-BARNES-F14,1,WE,0.0,12,0,56.759,0.0,56.759,4.729916667,5.730519118,17.61348112,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,4,0,0,0,0,0.0,0.0,0.323480324,8,0,8,0,8,0,6,2,0.25,0.0,0.75,0,0,5,0,0,0.418941423,0.288451181,0.718127592,0.218331714,0.330663801,0.283242086,0.220613511,0.031434892,0.201765001,0.171641868,0.285440643,0.180285811,0.034150674,0.10223484,0.015709939,0.02269319,0.011597411,0.011823916,0.01206554,59,0,592.003,535.244,56.759,9.866716667,4.729916667,11.15091667,1,2,0,0,0,0,0,0,3,3,4,3,0,1,21,6,4,4,0,0.222222222,0.857142857,0.352941176,39,0,39,0,39,4,12,27,0.692307692,0.0,0.307692308,1,2,5,0,0,3,167.9528131,136.6535636,325.6199227,25.72711272,44.42744607,81.495
0006-F14,1.0.3.0,226-001-BARNES-F14,1,WE,0.0,6,0,6.695,0.0,6.695,1.115833333,5.730519118,17.49993428,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,0,0,0,0,0.166056337,0.0,0.323480324,5,0,5,0,5,0,5,0,0.0,0.0,1.0,0,0,5,0,0,0.418941423,0.288451181,0.718127592,0.218331714,0.330663801,0.283242086,0.220613511,0.031434892,0.201765001,0.171641868,0.285440643,0.180285811,0.034150674,0.10223484,0.015709939,0.02269319,0.011597411,0.011823916,0.01206554,65,0,598.698,535.244,63.454,9.071181818,3.525222222,11.15091667,1,2,0,0,0,0,0,0,3,3,4,3,0,2,22,6,4,4,0,0.222222222,0.545454545,0.315789474,44,0,44,0,44,4,17,27,0.613636364,0.0,0.386363636,1,2,10,0,0,4,572.535163,522.2272823,1017.360329,23.75181108,45.74223636,124.365
0006-F14,1.0.4.0,226-001-BARNES-F14,1,PS,-94.078947368421,87,0,635.59,635.59,0.0,7.141460674,7.141460674,15.1865151,1,0,1,0,0,0,0,0,0,0,4,9,10,3,26,0,0,0,3,1,23,10,38,38,0,0.151515152,2.5,0.285714286,66,0,66,0,66,0,0,66,1.0,0.0,0.0,2,0,0,0,0,0.055105144,0.073338722,0.189787315,0.011340922,0.311882337,0.011547283,0.011522626,0.011340922,0.011340922,0.011340922,0.012338528,0.01,0.011340922,0.01,0.011522626,0.011340922,0.011522626,0.011522626,0.061177253,152,0,1234.288,1170.834,63.454,7.963148387,3.525222222,8.546233577,1,2,0,0,0,0,0,0,4,12,14,6,26,3,45,16,42,42,0,0.172043011,1.066666667,0.296296296,110,0,110,0,110,4,17,93,0.845454545,0.0,0.154545455,3,2,10,0,0,4,252.0669214,252.0669214,419.3237917,0.0,0.0,119.459
0006-F14,2.1.1.0,226-001-BARNES-F14,1,PS,0.0,30,0,236.803,236.803,0.0,7.40009375,7.40009375,14.50507483,1,0,2,1,1,0,0,0,0,0,3,5,3,0,1,1,1,0,0,0,2,6,3,3,0,0.2,1.0,0.333333333,30,0,30,0,30,0,0,30,1.0,0.0,0.0,0,0,0,0,0,0.251642531,0.020446351,0.189787315,0.043154774,0.811713419,0.043744397,0.011522626,0.011340922,0.011340922,0.011340922,0.012338528,0.01,0.011340922,0.01,0.011547283,0.011340922,0.011522626,0.011522626,0.061177253,30,0,236.803,236.803,0.0,7.40009375,5.24969423,7.40009375,1,0,1,0,0,0,0,0,3,5,3,0,1,0,2,6,3,3,0,0.2,1.0,0.333333333,30,0,30,0,30,0,0,30,1.0,0.0,0.0,0,0,0,0,0,4,366.135642,318.9324098,568.136864,32.95672242,55.10625694,152.054
0006-F14,2.1.2.0,226-001-BARNES-F14,1,WE,0.0,13,0,107.147,0.0,107.147,8.242076923,5.730519118,14.47614168,1,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,5,0,0,0,0,0.0,0.0,0.323480324,8,0,8,0,8,0,6,2,0.25,0.0,0.75,0,0,6,0,0,0.418941423,0.288451181,0.718127592,0.218331714,0.330663801,0.283242086,0.220613511,0.031434892,0.201765001,0.171641868,0.285440643,0.180285811,0.034150674,0.10223484,0.015709939,0.02269319,0.011597411,0.011823916,0.01206554,43,0,343.95,236.803,107.147,7.643333333,8.242076923,7.40009375,2,0,1,1,0,0,0,0,3,5,3,0,1,1,7,6,3,3,0,0.1875,0.6,0.285714286,38,0,38,0,38,0,6,32,0.842105263,0.0,0.157894737,0,0,6,0,0,4,215.5316966,166.3043781,514.1781711,37.43865714,50.54714033,64.568
0006-F14,2.1.3.0,226-001-BARNES-F14,1,PS,161.810039805396,19,0,86.43,86.43,0.0,4.115714286,4.115714286,13.90662379,1,0,2,1,1,0,0,0,0,0,2,2,2,0,0,0,0,0,2,1,8,4,0,0,0,0.307692308,0.8,0.444444444,13,0,13,0,13,0,0,13,1.0,0.0,0.0,0,0,0,0,0,0.251642531,0.020446351,0.420810459,0.128746564,0.811713419,0.130237999,0.043673971,0.011340922,0.011340922,0.011340922,0.012338528,0.01,0.011340922,0.01,0.011547283,0.011340922,0.011522626,0.011522626,0.061177253,62,0,430.38,323.233,107.147,6.520909091,8.242076923,6.098735849,3,0,2,1,0,0,0,0,3,7,5,0,1,2,15,10,3,3,0,0.222222222,0.666666667,0.333333333,51,0,51,0,51,0,6,45,0.882352941,0.0,0.117647059,0,0,6,0,0,4,225.4508831,225.4508831,312.2420144,0.0,0.0,126.088
0006-F14,3.1.1.0,226-001-BARNES-F14,1,WE,0.0,10,0,105.376,0.0,105.376,10.5376,5.730519118,13.90662379,1,0,3,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0.166056337,0.0,0.323480324,9,0,9,0,9,0,9,0,0.0,0.0,1.0,0,0,9,0,0,0.418941423,0.288451181,0.718127592,0.218331714,0.330663801,0.283242086,0.220613511,0.031434892,0.201765001,0.171641868,0.285440643,0.180285811,0.034150674,0.10223484,0.015709939,0.02269319,0.011597411,0.011823916,0.01206554,10,0,105.376,0.0,105.376,10.5376,10.5376,6.100940583,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.160948709,0.0,0.268913966,9,0,9,0,9,0,9,0,0.0,0.0,1.0,0,0,9,0,0,4,506.9877537,465.9649527,877.4636507,26.39029352,48.64787226,148.718
0006-F14,3.1.2.0,226-001-BARNES-F14,1,WE,0.0,10,0,25.25,0.0,25.25,2.525,5.730519118,13.88167173,1,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0.166056337,0.0,0.323480324,9,0,9,0,9,0,9,0,0.0,0.0,1.0,0,0,9,0,0,0.418941423,0.288451181,0.718127592,0.218331714,0.330663801,0.283242086,0.220613511,0.031434892,0.201765001,0.171641868,0.285440643,0.180285811,0.034150674,0.10223484,0.015709939,0.02269319,0.011597411,0.011823916,0.01206554,20,0,130.626,0.0,130.626,6.5313,6.5313,6.100940583,2,0,0,2,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0.160948709,0.0,0.268913966,18,0,18,0,18,0,18,0,0.0,0.0,1.0,0,0,18,0,0,6,224.5486218,171.9041423,453.1682347,40.45118699,60.599419,68.9985
0006-F14,3.1.3.0,226-001-BARNES-F14,1,PS,-43.265073019499,32,0,166.742,166.742,0.0,4.904176471,4.904176471,13.52408389,1,0,3,1,1,0,0,0,0,0,2,4,5,0,0,0,0,0,2,0,6,7,2,2,0,0.25,1.0,0.4,28,0,28,0,28,0,0,28,1.0,0.0,0.0,0,0,0,0,0,0.359015927,0.068724812,0.873518523,0.315863074,0.930111632,0.215962272,0.043673971,0.011340922,0.011340922,0.011340922,0.012338528,0.01,0.011340922,0.01,0.011547283,0.011340922,0.011522626,0.011522626,0.061177253,52,0,297.368,166.742,130.626,5.506814815,6.5313,4.904176471,3,0,1,2,0,0,0,0,2,4,5,0,0,2,8,7,2,2,0,0.25,0.318181818,0.28,46,0,46,0,46,0,18,28,0.608695652,0.0,0.391304348,0,0,18,0,0,6,304.7160905,304.7082155,374.6966858,0.007081395,0.113744052,179.1665
